template_id,display_name,category,category_mask,category_depth,sellable_status,baseline_price,max_buy_price,liquidity_tier,enabled,source,confidence,notes
Bloodsack_Unique_Durable_03_Schematic,Glutton's Bloodbag Schematic,schematics/weapons,117506048,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
Bloodsack_Unique_Durable_04,Sinner's Bloodbag,tools/utility,50462720,2,known,62000,49600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4; unique_schematic=yes
Bloodsack_Unique_Durable_04_Schematic,Sinner's Bloodbag Schematic,schematics/weapons,117506048,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
Bloodsack_Unique_Durable_05,Maas Kharet Bloodbag,tools/utility,50462720,2,known,96000,76800,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5; unique_schematic=yes
Bloodsack_Unique_Durable_05_Schematic,Maas Kharet Bloodbag Schematic,schematics/weapons,117506048,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
Bloodsack_Unique_Durable_06,The Baron's Bloodbag,tools/utility,50462720,2,known,170000,136000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6; unique_schematic=yes
Bloodsack_Unique_Durable_06_Schematic,The Baron's Bloodbag Schematic,schematics/weapons,117506048,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BodyFluidExtractor,Improvised Blood Extractor,tools/utility,50462720,2,known,70,56,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BodyFluidExtractor_02,Blood Extractor Mk2,tools/utility,50462720,2,known,2600,2080,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=2
BodyFluidExtractor_03,Blood Extractor Mk4,tools/utility,50462720,2,known,16000,12800,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BodyFluidExtractor_2h_tier6,Blood Extractor Mk6,tools/utility,50462720,2,known,67000,53600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BodyFluidExtractor_Unique_Poison_05,Impure Extractor Mk5,tools/utility,50462720,2,known,92000,73600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5; unique_schematic=yes
BodyFluidExtractor_Unique_Poison_05_Schematic,Impure Extractor Mk5 Schematic,schematics/weapons,117506048,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BodyFluidExtractor_Unique_Poison_06,Impure Extractor Mk6,tools/utility,50462720,2,known,160000,128000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6; unique_schematic=yes
BodyFluidExtractor_Unique_Poison_06_Schematic,Impure Extractor Mk6 Schematic,schematics/weapons,117506048,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BodyFluidExtractor_Unique_Water_03,Filter Extractor Mk3,tools/utility,50462720,2,known,31000,24800,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3; unique_schematic=yes
BodyFluidExtractor_Unique_Water_03_Schematic,Filter Extractor Mk3 Schematic,schematics/weapons,117506048,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BodyFluidExtractor_Unique_Water_04,Filter Extractor Mk4,tools/utility,50462720,2,known,60000,48000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4; unique_schematic=yes
BodyFluidExtractor_Unique_Water_04_Schematic,Filter Extractor Mk4 Schematic,schematics/weapons,117506048,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BodyFluidExtractor_Unique_Water_05,Filter Extractor Mk5,tools/utility,50462720,2,known,92000,73600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5; unique_schematic=yes
BodyFluidExtractor_Unique_Water_05_Schematic,Filter Extractor Mk5 Schematic,schematics/weapons,117506048,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BodyFluidExtractor_Unique_Water_06,Filter Extractor Mk6,tools/utility,50462720,2,known,160000,128000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6; unique_schematic=yes
BodyFluidExtractor_Unique_Water_06_Schematic,Filter Extractor Mk6 Schematic,schematics/weapons,117506048,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyBoost_0,Scrap Buggy Booster,vehicles/parts,100859904,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price
BuggyBoost_3,Buggy Booster Mk3,vehicles/parts,100859904,2,known,17000,13600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyBoost_4,Buggy Booster Mk4,vehicles/parts,100859904,2,known,39000,31200,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyBoost_5,Buggy Booster Mk5,vehicles/parts,100859904,2,known,65000,52000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyBoost_6,Buggy Booster Mk6,vehicles/parts,100859904,2,known,110000,88000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyBoost_Unique_LessHeat_3,Rattler Boost Module Mk3,vehicles/parts,100859904,2,known,71000,56800,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3; unique_schematic=yes
BuggyBoost_Unique_LessHeat_4,Rattler Boost Module Mk4,vehicles/parts,100859904,2,known,130000,104000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4; unique_schematic=yes
BuggyBoost_Unique_LessHeat_5,Rattler Boost Module Mk5,vehicles/parts,100859904,2,known,210000,168000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5; unique_schematic=yes
BuggyBoost_Unique_LessHeat_6,Rattler Boost Module Mk6,vehicles/parts,100859904,2,known,310000,248000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6; unique_schematic=yes
BuggyChassis_0,Scrap Buggy Chassis,vehicles/parts,100859904,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyChassis_3,Buggy Chassis Mk3,vehicles/parts,100859904,2,known,10000,8000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyChassis_4,Buggy Chassis Mk4,vehicles/parts,100859904,2,known,30000,24000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyChassis_5,Buggy Chassis Mk5,vehicles/parts,100859904,2,known,58000,46400,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyChassis_6,Buggy Chassis Mk6,vehicles/parts,100859904,2,known,100000,80000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyChoamBoostHeatEfficient2_Schematic,Rattler Boost Module Mk4 Schematic,schematics/vehicles,117637120,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyChoamBoostHeatEfficient3_Schematic,Rattler Boost Module Mk5 Schematic,schematics/vehicles,117637120,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyChoamBoostHeatEfficient4_Schematic,Rattler Boost Module Mk6 Schematic,schematics/vehicles,117637120,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyEngine_0,Scrap Buggy Engine,vehicles/parts,100859904,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyEngine_3,Buggy Engine Mk3,vehicles/parts,100859904,2,known,7500,6000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyEngine_4,Buggy Engine Mk4,vehicles/parts,100859904,2,known,22000,17600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyEngine_5,Buggy Engine Mk5,vehicles/parts,100859904,2,known,46000,36800,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyEngine_6,Buggy Engine Mk6,vehicles/parts,100859904,2,known,79000,63200,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyEngine_Unique_Accelerate_03,Bluddshot Buggy Engine Mk3,vehicles/parts,100859904,2,known,66000,52800,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3; unique_schematic=yes
BuggyEngine_Unique_Accelerate_03_Schematic,Bluddshot Buggy Engine Mk3 Schematic,schematics/vehicles,117637120,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyEngine_Unique_Accelerate_04,Bluddshot Buggy Engine Mk4,vehicles/parts,100859904,2,known,130000,104000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4; unique_schematic=yes
BuggyEngine_Unique_Accelerate_04_Schematic,Bluddshot Buggy Engine Mk4 Schematic,schematics/vehicles,117637120,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyEngine_Unique_Accelerate_05,Bluddshot Buggy Engine Mk5,vehicles/parts,100859904,2,known,200000,160000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5; unique_schematic=yes
BuggyEngine_Unique_Accelerate_05_Schematic,Bluddshot Buggy Engine Mk5 Schematic,schematics/vehicles,117637120,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyEngine_Unique_Accelerate_06,Bluddshot Buggy Engine Mk6,vehicles/parts,100859904,2,known,310000,248000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6; unique_schematic=yes
BuggyEngine_Unique_Accelerate_06_Schematic,Bluddshot Buggy Engine Mk6 Schematic,schematics/vehicles,117637120,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyGenerator_0,Scrap Buggy PSU,vehicles/parts,100859904,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyGenerator_3,Buggy PSU Mk3,vehicles/parts,100859904,2,known,8100,6480,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyGenerator_4,Buggy PSU Mk4,vehicles/parts,100859904,2,known,22000,17600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyGenerator_5,Buggy PSU Mk5,vehicles/parts,100859904,2,known,46000,36800,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyGenerator_6,Buggy PSU Mk6,vehicles/parts,100859904,2,known,78000,62400,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyHullBackExtra_0,Scrap Buggy Utility Rear,vehicles/parts,100859904,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyHullBackExtra_3,Buggy Utility Rear Mk3,vehicles/parts,100859904,2,known,12000,9600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyHullBackExtra_4,Buggy Utility Rear Mk4,vehicles/parts,100859904,2,known,33000,26400,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyHullBackExtra_5,Buggy Utility Rear Mk5,vehicles/parts,100859904,2,known,63000,50400,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyHullBackExtra_6,Buggy Utility Rear Mk6,vehicles/parts,100859904,2,known,110000,88000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyHullBack_0,Scrap Buggy Rear Hull,vehicles/parts,100859904,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyHullBack_3,Buggy Rear Mk3,vehicles/parts,100859904,2,known,12000,9600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyHullBack_4,Buggy Rear Mk4,vehicles/parts,100859904,2,known,33000,26400,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyHullBack_5,Buggy Rear Mk5,vehicles/parts,100859904,2,known,63000,50400,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyHullBack_6,Buggy Rear Mk6,vehicles/parts,100859904,2,known,110000,88000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyHullFront_0,Scrap Buggy Front Hull,vehicles/parts,100859904,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyHullFront_3,Buggy Hull Mk3,vehicles/parts,100859904,2,known,12000,9600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyHullFront_4,Buggy Hull Mk4,vehicles/parts,100859904,2,known,33000,26400,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyHullFront_5,Buggy Hull Mk5,vehicles/parts,100859904,2,known,63000,50400,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyHullFront_6,Buggy Hull Mk6,vehicles/parts,100859904,2,known,110000,88000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyInventory_0,Scrap Buggy Inventory,vehicles/parts,100859904,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price
BuggyInventory_3,Buggy Storage Mk3,vehicles/parts,100859904,2,known,10000,8000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyInventory_4,Buggy Storage Mk4,vehicles/parts,100859904,2,known,30000,24000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyInventory_5,Buggy Storage Mk5,vehicles/parts,100859904,2,known,58000,46400,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyInventory_6,Buggy Storage Mk6,vehicles/parts,100859904,2,known,100000,80000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyInventory_Unique_Capacity_03,Bigger Buggy Boot Mk3,vehicles/parts,100859904,2,known,64000,51200,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3; unique_schematic=yes
BuggyInventory_Unique_Capacity_03_Schematic,Bigger Buggy Boot Mk3 Schematic,schematics/vehicles,117637120,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyInventory_Unique_Capacity_04,Bigger Buggy Boot Mk4,vehicles/parts,100859904,2,known,120000,96000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4; unique_schematic=yes
BuggyInventory_Unique_Capacity_04_Schematic,Bigger Buggy Boot Mk4 Schematic,schematics/vehicles,117637120,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyInventory_Unique_Capacity_05,Bigger Buggy Boot Mk5,vehicles/parts,100859904,2,known,200000,160000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5; unique_schematic=yes
BuggyInventory_Unique_Capacity_05_Schematic,Bigger Buggy Boot Mk5 Schematic,schematics/vehicles,117637120,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyInventory_Unique_Capacity_06,Bigger Buggy Boot Mk6,vehicles/parts,100859904,2,known,310000,248000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6; unique_schematic=yes
BuggyInventory_Unique_Capacity_06_Schematic,Bigger Buggy Boot Mk6 Schematic,schematics/vehicles,117637120,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyLauncher_0,Scrap Buggy Rocket Launcher,vehicles/parts,100859904,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyLauncher_5,Buggy Rocket Launcher Mk5,vehicles/parts,100859904,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyLauncher_6,Buggy Rocket Launcher Mk6,vehicles/parts,100859904,2,known,130000,104000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyLocomotion_0,Scrap Buggy Tread,vehicles/parts,100859904,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyLocomotion_3,Buggy Tread Mk3,vehicles/parts,100859904,2,known,2200,1760,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyLocomotion_4,Buggy Tread Mk4,vehicles/parts,100859904,2,known,5600,4480,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyLocomotion_5,Buggy Tread Mk5,vehicles/parts,100859904,2,known,10000,8000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyLocomotion_6,Buggy Tread Mk6,vehicles/parts,100859904,2,known,18000,14400,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyMining_0,Scrap Buggy Mining Laser,vehicles/parts,100859904,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyMining_3,Buggy Cutteray Mk3,vehicles/parts,100859904,2,known,26000,20800,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyMining_4,Buggy Cutteray Mk4,vehicles/parts,100859904,2,known,57000,45600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyMining_5,Buggy Cutteray Mk5,vehicles/parts,100859904,2,known,100000,80000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyMining_6,Buggy Cutteray Mk6,vehicles/parts,100859904,2,known,170000,136000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyMining_Unique_YieldIncrease_03,Focused Buggy Cutteray Mk3,vehicles/parts,100859904,2,known,82000,65600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3; unique_schematic=yes
BuggyMining_Unique_YieldIncrease_03_Schematic,Focused Buggy Cutteray Mk3 Schematic,schematics/vehicles,117637120,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyMining_Unique_YieldIncrease_04,Focused Buggy Cutteray Mk4,vehicles/parts,100859904,2,known,150000,120000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4; unique_schematic=yes
