template_id,display_name,category,category_mask,category_depth,sellable_status,baseline_price,max_buy_price,price_floor,price_ceiling,liquidity_tier,enabled,source,confidence,notes
AtreSmg3,Artisan Disruptor M11,weapons/ranged,67239936,2,validated,6000,4800,6000,6000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
AtreSmg4,House Disruptor M11,weapons/ranged,67239936,2,validated,18000,14400,18000,18000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
AtreSmg5,Adept Disruptor M11,weapons/ranged,67239936,2,validated,31000,24800,31000,31000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
AtreSmg6,Regis Disruptor M11,weapons/ranged,67239936,2,validated,49000,39200,49000,49000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
Atre_BasicLighting_Patent,Atreides Basic Lights Set,building/patents,134348800,2,validated,5000,4000,5000,5000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price
Atre_BedroomSet_Patent,Atreides Bedroom Furniture Set,building/patents,134348800,2,validated,15000,12000,15000,15000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price
Atre_DiningRoomSet_Patent,Atreides Dining Room Furniture Set,building/patents,134348800,2,validated,15000,12000,15000,15000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price
Atre_OfficeSet_Patent,Atreides Office Furniture Set,building/patents,134348800,2,validated,10000,8000,10000,10000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price
AtreidesSet,Atreides Stronghold,consumables/medical,33619968,2,validated,80000,64000,80000,80000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price
AzuriteOre,AzuriteOre,resources/raw,16842752,2,validated,25,20,25,25,medium,true,local-bootstrap,low,heuristic category and price; disabled until real price validation; observed_count=12
Basalt,Basalt Stone,resources/raw,16842752,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BaseBackupTool,BaseBackupTool,tools/utility,50462720,2,validated,450,360,450,450,medium,true,local-bootstrap,moderate,heuristic category and price; disabled until real price validation; observed_count=4; reviewed seed set for DASH artificial Exchange populator
BasicBuildingTool,Construction Tool,building/placeables,134283264,2,validated,70,56,70,70,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BasicLighting_Patent,Basic Lighting,building/patents,134348800,2,validated,2500,2000,2500,2500,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BauxiteOre,Aluminum Ore,resources/raw,16842752,2,validated,40,32,40,40,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
Beta_Plaque_Patent,Memorial Plaque,building/patents,134348800,2,validated,2500,2000,2500,2500,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=1
Binoculars_1,Binoculars_1,tools/utility,50462720,2,validated,450,360,450,450,medium,true,local-bootstrap,low,heuristic category and price; disabled until real price validation; observed_count=8
BlankSinkChart,Blank Sinkchart,unknown,0,0,validated,1500,1200,1500,1500,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=2
Bloodsack_01,Bloodsack_01,consumables/medical,33619968,2,validated,100,80,100,100,medium,true,local-bootstrap,low,heuristic category and price; disabled until real price validation; observed_count=15
Bloodsack_02,Bloodsack_02,consumables/medical,33619968,2,validated,100,80,100,100,medium,true,local-bootstrap,low,heuristic category and price; disabled until real price validation; observed_count=1
Bloodsack_03,Large Blood Sack,tools/utility,50462720,2,validated,14000,11200,14000,14000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
Bloodsack_T6,Massive Blood Sack,tools/utility,50462720,2,validated,65000,52000,65000,65000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
Bloodsack_Unique_Durable_02,Scipio's Bloodbag,tools/utility,50462720,2,validated,17000,13600,17000,17000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=2; unique_schematic=yes
Bloodsack_Unique_Durable_02_Schematic,Scipio's Bloodbag Schematic,schematics/weapons,117506048,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=2
Bloodsack_Unique_Durable_03,Glutton's Bloodbag,tools/utility,50462720,2,validated,36000,28800,36000,36000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3; unique_schematic=yes
Bloodsack_Unique_Durable_03_Schematic,Glutton's Bloodbag Schematic,schematics/weapons,117506048,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
Bloodsack_Unique_Durable_04,Sinner's Bloodbag,tools/utility,50462720,2,validated,62000,49600,62000,62000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4; unique_schematic=yes
Bloodsack_Unique_Durable_04_Schematic,Sinner's Bloodbag Schematic,schematics/weapons,117506048,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
Bloodsack_Unique_Durable_05,Maas Kharet Bloodbag,tools/utility,50462720,2,validated,96000,76800,96000,96000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5; unique_schematic=yes
Bloodsack_Unique_Durable_05_Schematic,Maas Kharet Bloodbag Schematic,schematics/weapons,117506048,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
Bloodsack_Unique_Durable_06,The Baron's Bloodbag,tools/utility,50462720,2,validated,170000,136000,170000,170000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6; unique_schematic=yes
Bloodsack_Unique_Durable_06_Schematic,The Baron's Bloodbag Schematic,schematics/weapons,117506048,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BodyFluidExtractor,BodyFluidExtractor,tools/mining,50397184,2,validated,450,360,450,450,medium,true,local-bootstrap,low,heuristic category and price; disabled until real price validation; observed_count=4
BodyFluidExtractor_02,BodyFluidExtractor_02,tools/mining,50397184,2,validated,450,360,450,450,medium,true,local-bootstrap,low,heuristic category and price; disabled until real price validation; observed_count=1
BodyFluidExtractor_03,Blood Extractor Mk4,tools/utility,50462720,2,validated,16000,12800,16000,16000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BodyFluidExtractor_2h_tier6,Blood Extractor Mk6,tools/utility,50462720,2,validated,67000,53600,67000,67000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BodyFluidExtractor_Unique_Poison_05,Impure Extractor Mk5,tools/utility,50462720,2,validated,92000,73600,92000,92000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5; unique_schematic=yes
BodyFluidExtractor_Unique_Poison_05_Schematic,Impure Extractor Mk5 Schematic,schematics/weapons,117506048,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BodyFluidExtractor_Unique_Poison_06,Impure Extractor Mk6,tools/utility,50462720,2,validated,160000,128000,160000,160000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6; unique_schematic=yes
BodyFluidExtractor_Unique_Poison_06_Schematic,Impure Extractor Mk6 Schematic,schematics/weapons,117506048,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BodyFluidExtractor_Unique_Water_03,Filter Extractor Mk3,tools/utility,50462720,2,validated,31000,24800,31000,31000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3; unique_schematic=yes
BodyFluidExtractor_Unique_Water_03_Schematic,Filter Extractor Mk3 Schematic,schematics/weapons,117506048,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BodyFluidExtractor_Unique_Water_04,Filter Extractor Mk4,tools/utility,50462720,2,validated,60000,48000,60000,60000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4; unique_schematic=yes
BodyFluidExtractor_Unique_Water_04_Schematic,Filter Extractor Mk4 Schematic,schematics/weapons,117506048,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BodyFluidExtractor_Unique_Water_05,Filter Extractor Mk5,tools/utility,50462720,2,validated,92000,73600,92000,92000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5; unique_schematic=yes
BodyFluidExtractor_Unique_Water_05_Schematic,BodyFluidExtractor_Unique_Water_05_Schematic,schematics/weapons,117506048,2,validated,2500,2000,2500,2500,medium,true,local-bootstrap,moderate,heuristic category and price; disabled until real price validation; observed_count=2; reviewed seed set for DASH artificial Exchange populator
BodyFluidExtractor_Unique_Water_06,Filter Extractor Mk6,tools/utility,50462720,2,validated,160000,128000,160000,160000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6; unique_schematic=yes
BodyFluidExtractor_Unique_Water_06_Schematic,Filter Extractor Mk6 Schematic,schematics/weapons,117506048,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyBoost_0,Scrap Buggy Booster,vehicles/parts,100859904,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price
BuggyBoost_3,Buggy Booster Mk3,vehicles/parts,100859904,2,validated,17000,13600,17000,17000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyBoost_4,Buggy Booster Mk4,vehicles/parts,100859904,2,validated,39000,31200,39000,39000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyBoost_5,Buggy Booster Mk5,vehicles/parts,100859904,2,validated,65000,52000,65000,65000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyBoost_6,Buggy Booster Mk6,vehicles/parts,100859904,2,validated,110000,88000,110000,110000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyBoost_Unique_LessHeat_3,Rattler Boost Module Mk3,vehicles/parts,100859904,2,validated,71000,56800,71000,71000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3; unique_schematic=yes
BuggyBoost_Unique_LessHeat_4,Rattler Boost Module Mk4,vehicles/parts,100859904,2,validated,130000,104000,130000,130000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4; unique_schematic=yes
BuggyBoost_Unique_LessHeat_5,Rattler Boost Module Mk5,vehicles/parts,100859904,2,validated,210000,168000,210000,210000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5; unique_schematic=yes
BuggyBoost_Unique_LessHeat_6,Rattler Boost Module Mk6,vehicles/parts,100859904,2,validated,310000,248000,310000,310000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6; unique_schematic=yes
BuggyChassis_0,Scrap Buggy Chassis,vehicles/parts,100859904,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyChassis_3,Buggy Chassis Mk3,vehicles/parts,100859904,2,validated,10000,8000,10000,10000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyChassis_4,Buggy Chassis Mk4,vehicles/parts,100859904,2,validated,30000,24000,30000,30000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyChassis_5,Buggy Chassis Mk5,vehicles/parts,100859904,2,validated,58000,46400,58000,58000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyChassis_6,Buggy Chassis Mk6,vehicles/parts,100859904,2,validated,100000,80000,100000,100000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyChoamBoostHeatEfficient2_Schematic,Rattler Boost Module Mk4 Schematic,schematics/vehicles,117637120,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyChoamBoostHeatEfficient3_Schematic,Rattler Boost Module Mk5 Schematic,schematics/vehicles,117637120,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyChoamBoostHeatEfficient4_Schematic,Rattler Boost Module Mk6 Schematic,schematics/vehicles,117637120,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyEngine_0,Scrap Buggy Engine,vehicles/parts,100859904,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyEngine_3,Buggy Engine Mk3,vehicles/parts,100859904,2,validated,7500,6000,7500,7500,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyEngine_4,Buggy Engine Mk4,vehicles/parts,100859904,2,validated,22000,17600,22000,22000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyEngine_5,Buggy Engine Mk5,vehicles/parts,100859904,2,validated,46000,36800,46000,46000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyEngine_6,Buggy Engine Mk6,vehicles/parts,100859904,2,validated,79000,63200,79000,79000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyEngine_Unique_Accelerate_03,Bluddshot Buggy Engine Mk3,vehicles/parts,100859904,2,validated,66000,52800,66000,66000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3; unique_schematic=yes
BuggyEngine_Unique_Accelerate_03_Schematic,Bluddshot Buggy Engine Mk3 Schematic,schematics/vehicles,117637120,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyEngine_Unique_Accelerate_04,Bluddshot Buggy Engine Mk4,vehicles/parts,100859904,2,validated,130000,104000,130000,130000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4; unique_schematic=yes
BuggyEngine_Unique_Accelerate_04_Schematic,Bluddshot Buggy Engine Mk4 Schematic,schematics/vehicles,117637120,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyEngine_Unique_Accelerate_05,Bluddshot Buggy Engine Mk5,vehicles/parts,100859904,2,validated,200000,160000,200000,200000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5; unique_schematic=yes
BuggyEngine_Unique_Accelerate_05_Schematic,Bluddshot Buggy Engine Mk5 Schematic,schematics/vehicles,117637120,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyEngine_Unique_Accelerate_06,Bluddshot Buggy Engine Mk6,vehicles/parts,100859904,2,validated,310000,248000,310000,310000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6; unique_schematic=yes
BuggyEngine_Unique_Accelerate_06_Schematic,BuggyEngine_Unique_Accelerate_06_Schematic,schematics/weapons,117506048,2,validated,2500,2000,2500,2500,medium,true,local-bootstrap,low,heuristic category and price; disabled until real price validation; observed_count=1
BuggyGenerator_0,Scrap Buggy PSU,vehicles/parts,100859904,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyGenerator_3,Buggy PSU Mk3,vehicles/parts,100859904,2,validated,8100,6480,8100,8100,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyGenerator_4,Buggy PSU Mk4,vehicles/parts,100859904,2,validated,22000,17600,22000,22000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyGenerator_5,Buggy PSU Mk5,vehicles/parts,100859904,2,validated,46000,36800,46000,46000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyGenerator_6,Buggy PSU Mk6,vehicles/parts,100859904,2,validated,78000,62400,78000,78000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyHullBackExtra_0,Scrap Buggy Utility Rear,vehicles/parts,100859904,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyHullBackExtra_3,Buggy Utility Rear Mk3,vehicles/parts,100859904,2,validated,12000,9600,12000,12000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyHullBackExtra_4,Buggy Utility Rear Mk4,vehicles/parts,100859904,2,validated,33000,26400,33000,33000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyHullBackExtra_5,Buggy Utility Rear Mk5,vehicles/parts,100859904,2,validated,63000,50400,63000,63000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyHullBackExtra_6,Buggy Utility Rear Mk6,vehicles/parts,100859904,2,validated,110000,88000,110000,110000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyHullBack_0,Scrap Buggy Rear Hull,vehicles/parts,100859904,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyHullBack_3,Buggy Rear Mk3,vehicles/parts,100859904,2,validated,12000,9600,12000,12000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyHullBack_4,Buggy Rear Mk4,vehicles/parts,100859904,2,validated,33000,26400,33000,33000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyHullBack_5,Buggy Rear Mk5,vehicles/parts,100859904,2,validated,63000,50400,63000,63000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyHullBack_6,Buggy Rear Mk6,vehicles/parts,100859904,2,validated,110000,88000,110000,110000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyHullFront_0,Scrap Buggy Front Hull,vehicles/parts,100859904,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyHullFront_3,Buggy Hull Mk3,vehicles/parts,100859904,2,validated,12000,9600,12000,12000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyHullFront_4,Buggy Hull Mk4,vehicles/parts,100859904,2,validated,33000,26400,33000,33000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyHullFront_5,Buggy Hull Mk5,vehicles/parts,100859904,2,validated,63000,50400,63000,63000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyHullFront_6,Buggy Hull Mk6,vehicles/parts,100859904,2,validated,110000,88000,110000,110000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyInventory_0,Scrap Buggy Inventory,vehicles/parts,100859904,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price
BuggyInventory_3,Buggy Storage Mk3,vehicles/parts,100859904,2,validated,10000,8000,10000,10000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyInventory_4,Buggy Storage Mk4,vehicles/parts,100859904,2,validated,30000,24000,30000,30000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyInventory_5,Buggy Storage Mk5,vehicles/parts,100859904,2,validated,58000,46400,58000,58000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyInventory_6,Buggy Storage Mk6,vehicles/parts,100859904,2,validated,100000,80000,100000,100000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyInventory_Unique_Capacity_03,Bigger Buggy Boot Mk3,vehicles/parts,100859904,2,validated,64000,51200,64000,64000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3; unique_schematic=yes
BuggyInventory_Unique_Capacity_03_Schematic,Bigger Buggy Boot Mk3 Schematic,schematics/vehicles,117637120,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
BuggyInventory_Unique_Capacity_04,Bigger Buggy Boot Mk4,vehicles/parts,100859904,2,validated,120000,96000,120000,120000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4; unique_schematic=yes
BuggyInventory_Unique_Capacity_04_Schematic,Bigger Buggy Boot Mk4 Schematic,schematics/vehicles,117637120,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BuggyInventory_Unique_Capacity_05,Bigger Buggy Boot Mk5,vehicles/parts,100859904,2,validated,200000,160000,200000,200000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5; unique_schematic=yes
BuggyInventory_Unique_Capacity_05_Schematic,Bigger Buggy Boot Mk5 Schematic,schematics/vehicles,117637120,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
BuggyInventory_Unique_Capacity_06,Bigger Buggy Boot Mk6,vehicles/parts,100859904,2,validated,310000,248000,310000,310000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6; unique_schematic=yes
BuggyInventory_Unique_Capacity_06_Schematic,Bigger Buggy Boot Mk6 Schematic,schematics/vehicles,117637120,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
BuggyLauncher_0,Scrap Buggy Rocket Launcher,vehicles/parts,100859904,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BuggyLauncher_5,Buggy Rocket Launcher Mk5,vehicles/parts,100859904,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
